用户ID,ITE
U00055952,0.11336453188077567
U00043312,0.10713337123564867
U00020014,0.10800984010809012
U00054200,0.1489471087034503
U00029610,0.1413662641564422
U00022108,0.10287566515403734
U00024550,0.110418156426971
U00003624,0.14225256540629588
U00051030,0.11816703290155278
U00051210,0.16713765074955012
U00019552,0.13036133516945297
U00089665,0.10311356203628358
U00029676,0.12121184211212227
U00098025,0.11756951787194353
U00075364,0.1120044012354447
U00036489,0.10634211033044899
U00003127,0.11528227196715662
U00045846,0.12298827194708112
U00025758,0.11037798794937553
U00096837,0.12520033654570323
U00075943,0.10855084996717568
U00074705,0.10430463279020896
U00017296,0.11395966971067739
U00078712,0.11515017179480991
U00001671,0.10637050014477883
U00068791,0.11793417940081502
U00065374,0.12987766227286413
U00008282,0.10669225772077512
U00083089,0.12813205583973114
U00092324,0.13443027860905538
U00022065,0.12303017551084239
U00008163,0.14796749469361437
U00002919,0.13613211709762318
U00043662,0.156905889685782
U00022757,0.10870997326817855
U00007558,0.13809832992512688
U00058420,0.11783736478531526
U00040960,0.11312182061080572
U00052505,0.10593972007583546
U00082243,0.11175364055609915
U00089429,0.15790660495328168
U00087388,0.13876050302095438
U00038916,0.11722833049861497
U00050029,0.11744688267259001
U00036864,0.16471490745157918
U00045844,0.11909427709153131
U00084292,0.13959502633111465
U00095115,0.12075499794274597
U00070058,0.1350535770565479
U00054902,0.1568328706465849
U00093109,0.14594164468738297
U00061244,0.1233047604165215
U00024754,0.13920188197485334
U00011170,0.1285724945808221
U00086696,0.1240713869687318
U00081572,0.12693262418986145
U00003199,0.1189190962687462
U00093012,0.10923490323545165
U00093035,0.10885886291531599
U00014594,0.11120089385301324
U00022785,0.10505778764216134
U00072287,0.13284683497481792
U00078307,0.1175618976207789
U00025860,0.12859464876121496
U00089544,0.10973643888531681
U00026278,0.13640290815527095
U00029862,0.10226363065287702
U00089731,0.12455671803491053
U00010577,0.13226426094274918
U00037003,0.1421600292212098
U00062767,0.12644249217576647
U00025665,0.13333913670084252
U00066326,0.10347060817846926
U00074942,0.1565547114481634
U00038473,0.10996620553662445
U00026109,0.15023124675854033
U00016854,0.13921263706978199
U00021521,0.13490950571086363
U00079094,0.115939358608737
U00031316,0.11011090912626847
U00050620,0.12938361148472427
U00044471,0.12732152144355352
U00021304,0.14237651242621108
U00057804,0.11901348370850562
U00080000,0.10939673200102065
U00095213,0.1252068598362603
U00053564,0.1440935711727967
U00008415,0.11081137052979925
U00080866,0.11862690198172388
U00009232,0.11236012667211431
U00098371,0.10512174174903549
U00029390,0.11598785311939797
U00025130,0.11129227788281454
U00082637,0.11805774991432083
U00062368,0.1050825837332458
U00053690,0.10858505692480969
U00002796,0.1380845949995665
U00040157,0.16210950480224912
U00041974,0.16313000924277848
U00079897,0.14014929119002062
U00017119,0.13419121934524536
U00068597,0.1117308837213758
U00070681,0.11073753096592906
U00024271,0.14121837759754746
U00065762,0.1133109243199884
U00051720,0.12622385771331546
U00079223,0.11307687677969469
U00012930,0.12806011305397053
U00062450,0.14308057877577302
